25503940;41.1673;-8.640417;-0.1508037;0.718505
25503937;41.16634;-8.640759;-0.1508097;0.7184881
25503963;41.16757;-8.643861;-0.1508638;0.7185097
25503965;41.16728;-8.643818;-0.1508631;0.7185045
25503966;41.16708;-8.643689;-0.1508608;0.7185011
25503967;41.16685;-8.643485;-0.1508573;0.7184971
25503969;41.1666;-8.643475;-0.1508571;0.7184926
25503970;41.16631;-8.64379;-0.1508626;0.7184877
25504005;41.16788;-8.642616;-0.1508421;0.718515
25504006;41.1681;-8.642551;-0.150841;0.7185189
25504007;41.16823;-8.642273;-0.1508361;0.7185212
25504008;41.16822;-8.641962;-0.1508307;0.7185209
25504010;41.16808;-8.641736;-0.1508268;0.7185186
25504011;41.16787;-8.641665;-0.1508255;0.7185149
25504013;41.16764;-8.641793;-0.1508278;0.7185109
25504018;41.1674;-8.640792;-0.1508103;0.7185067
25504021;41.16718;-8.640663;-0.150808;0.7185029
25504024;41.16689;-8.640759;-0.1508097;0.7184978
25504025;41.16677;-8.641125;-0.1508161;0.7184957
25503998;41.16752;-8.643572;-0.1508588;0.7185088
25503977;41.16589;-8.641699;-0.1508261;0.7184803
25503996;41.16728;-8.64355;-0.1508584;0.7185046
25503995;41.16702;-8.64325;-0.1508532;0.7185
25504123;41.17555;-8.622424;-0.1504897;0.718649
25504141;41.17284;-8.622349;-0.1504884;0.7186017
25504147;41.17249;-8.622464;-0.1504904;0.7185954
25504151;41.17229;-8.622746;-0.1504953;0.7185921
25504153;41.17229;-8.623186;-0.150503;0.7185921
25504154;41.17248;-8.623497;-0.1505084;0.7185954
25504156;41.17284;-8.623572;-0.1505097;0.7186017
25504157;41.17315;-8.623322;-0.1505054;0.7186069
25504158;41.17321;-8.623159;-0.1505025;0.7186081
25504163;41.17467;-8.622449;-0.1504901;0.7186336
25504174;41.17461;-8.623234;-0.1505038;0.7186325
25504179;41.17373;-8.620652;-0.1504588;0.7186171
25507553;41.16605;-8.582975;-0.1498012;0.7184831
25507564;41.15799;-8.582936;-0.1498005;0.7183424
25507565;41.15795;-8.582704;-0.1497964;0.7183417
25507566;41.15739;-8.583113;-0.1498036;0.7183321
25507567;41.15736;-8.582877;-0.1497995;0.7183315
25507568;41.15658;-8.583243;-0.1498059;0.7183178
